product_id,quantity
275,467
271,471
271,402
183,30
207,60
280,279
283,131
,399
,351
257,405
265,483
176,141
190,242
238,224
265,188
292,321
158,162
131,415
296,304
283,20
284,132
150,313
102,186
,283
281,263
,482
275,484
217,357
215,218
289,379
105,11
242,440
119,38
168,34
299,249
140,113
150,369
167,370
113,462
135,239
164,305
137,43
121,310
158,20
281,18
250,177
253,472
116,148
290,199
,352
263,172
136,278
274,486
114,290
184,167
167,380
,166
268,51
104,299
296,339
223,286
144,234
260,421
293,213
270,307
280,354
151,295
100,344
193,284
281,158
,234
154,10
107,200
142,285
252,114
240,185
294,248
289,79
108,280
222,13
284,133
289,478
173,44
105,139
,110
,21
164,75
225,362
109,366
289,399
149,384
274,365
262,44
125,485
238,84
,207
265,182
253,271
253,358
121,201
220,497
231,163
196,126
270,345
269,27
193,175
204,294
212,468
,255
167,75
217,452
199,126
231,313
282,91
224,387
129,445
258,234
232,24
219,163
135,95
199,204
228,482
268,188
122,114
171,333
116,423
123,201
148,495
220,97
135,107
257,242
292,234
275,380
244,321
276,496
153,66
299,417
193,439
242,270
134,200
283,299
192,357
252,442
297,392
267,229
195,423
252,199
290,148
152,237
,356
106,414
180,425
163,362
190,344
249,108
232,64
227,328
145,299
115,24
162,301
149,220
154,63
167,361
152,448
124,198
205,292
172,329
172,369
285,121
238,108
221,288
181,205
204,429
294,397
167,90
171,452
168,244
277,397
182,123
129,239
181,91
101,401
272,27
165,255
191,104
266,114
106,143
101,317
218,52
119,15
171,30
,64
105,175
284,263
112,60
150,488
131,45
208,54
,458
112,193
256,330
,311
274,167
110,454
266,98
248,44
243,237
170,187
298,414
101,439
252,117
286,65
154,150
268,320
,499
241,360
235,249
,211
,281
208,447
267,153
185,232
173,97
,235
187,127
260,338
208,425
175,272
204,134
217,177
128,308
,58
231,376
201,480
210,159
120,121
101,23
109,416
262,281
121,158
126,74
132,401
115,443
113,242
151,440
256,163
270,375
216,38
220,441
234,331
255,27
290,182
205,197
100,339
277,162
127,436
193,230
272,113
292,334
269,416
127,232
119,94
142,154
136,202
,74
273,460
192,333
193,361
144,126
140,82
228,287
183,413
225,420
,151
149,202
278,358
,74
121,360
,110
166,363
181,345
299,164
166,60
213,436
299,97
,33
215,251
187,103
100,19
118,38
127,391
280,78
290,364
242,249
231,167
229,483
134,78
272,418
101,15
148,36
164,250
194,393
,313
,240
186,356
,116
210,404
100,101
105,285
250,53
168,335
144,113
298,134
269,307
